FertilizationPlanId,PlanName,PlanDescription,CropType,PlanStageId,StageName,Rationale,TimingBase,TimingFactor,ApplicationMethodId,NitrogenPercent,PhosphorusPercent,PotassiumPercent,SulfurPercent,CalciumPercent,MagnesiumPercent,BoronPercent,ZincPercent,ManganesePercent,CopperPercent,IronPercent,MolybdenumPercent
1,Інтенсивний (4 внесення),План для інтенсивного вирощування озимої пшениці з метою отримання високого врожаю та якості зерна.,Wheat,1,Основне внесення,"Створення основного запасу повільно-мобільних елементів (P, K, Ca, Mg) для потужного старту та розвитку кореневої системи.",PreSowing,-10,1,0.0,0.8,0.8,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Інтенсивний (4 внесення),План для інтенсивного вирощування озимої пшениці з метою отримання високого врожаю та якості зерна.,Wheat,2,"N1: Регенеративне підживлення",Перше азотно-сірчане підживлення для стимуляції весняного кущення та відновлення вегетації.,Development,0.1,3,0.35,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Інтенсивний (4 внесення),План для інтенсивного вирощування озимої пшениці з метою отримання високого врожаю та якості зерна.,Wheat,3,"N2: Продуктивне підживлення","Друге, основне продуктивне підживлення для формування максимальної кількості продуктивних стебел.",Development,0.7,2,0.45,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Інтенсивний (4 внесення),План для інтенсивного вирощування озимої пшениці з метою отримання високого врожаю та якості зерна.,Wheat,4,"N3: Якісне підживлення","Третє, якісне підживлення для підвищення вмісту білка в зерні.",MidSeason,0.2,4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Інтенсивний (4 внесення),План для інтенсивного вирощування озимої пшениці з метою отримання високого врожаю та якості зерна.,Wheat,5,Мікроелементне підживлення,Комплексне листкове підживлення мікроелементами для оптимізації фотосинтезу та підвищення стійкості до стресів.,MidSeason,0.5,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.0
2,Стандартний (2 внесення),"Базовий план для озимої пшениці, що забезпечує стабільний врожай при помірних витратах.",Wheat,6,Основне внесення,Забезпечення стартової потреби в фосфорі та калії.,PreSowing,-10,1,0.2,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Стандартний (2 внесення),"Базовий план для озимої пшениці, що забезпечує стабільний врожай при помірних витратах.",Wheat,7,Весняне підживлення,Комплексне весняне підживлення для підтримки вегетативного росту та формування колоса.,Development,0.2,3,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Інтенсивний,"План для інтенсивного вирощування ярого ячменю, стійкого до вилягання.",Barley,8,Передпосівне внесення,Забезпечення збалансованого стартового живлення для швидкого розвитку.,PreSowing,-1,1,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Інтенсивний,"План для інтенсивного вирощування ярого ячменю, стійкого до вилягання.",Barley,9,Підживлення в фазі кущення,Підтримка продуктивного кущення та закладання колосків.,Development,0.5,2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Інтенсивний,"План для інтенсивного вирощування ярого ячменю, стійкого до вилягання.",Barley,10,Мікроелементне підживлення,Профілактика дефіциту мікроелементів для підвищення стійкості до стресів.,MidSeason,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0
4,Стандартний,"Базовий план для вівса, враховуючи його здатність засвоювати елементи з ґрунту.",Oats,11,Передпосівне внесення,Забезпечення основних потреб в елементах живлення на весь період вегетації.,PreSowing,-1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Стандартний (2 внесення),"План для озимого жита, що враховує його потужну кореневу систему та зимостійкість.",Rye,12,Основне внесення,Забезпечення фосфором та калієм для успішної перезимівлі.,PreSowing,-15,1,0.0,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Стандартний (2 внесення),"План для озимого жита, що враховує його потужну кореневу систему та зимостійкість.",Rye,13,Весняне підживлення,Азотне підживлення для відновлення вегетації та росту.,Development,0.2,3,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Інтенсивний (Цинк+),"План для кукурудзи на зерно, орієнтований на високий врожай, з акцентом на азот та цинк.",Corn,14,Основне внесення,Внесення основної норми фосфору та калію під глибокий обробіток ґрунту.,PreSowing,-20,1,0.1,0.9,0.9,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Інтенсивний (Цинк+),"План для кукурудзи на зерно, орієнтований на високий врожай, з акцентом на азот та цинк.",Corn,15,Припосівне внесення,Внесення стартової дози фосфору для стимуляції росту коренів.,Initial,0,2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Інтенсивний (Цинк+),"План для кукурудзи на зерно, орієнтований на високий врожай, з акцентом на азот та цинк.",Corn,16,"N1: Підживлення (3-5 листків)",Перше підживлення азотом для підтримки активного вегетативного росту.,Development,0.3,2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Інтенсивний (Цинк+),"План для кукурудзи на зерно, орієнтований на високий врожай, з акцентом на азот та цинк.",Corn,17,"Zn: Листкове підживлення (6-8 листків)",Критичне внесення цинку для правильного формування качана та профілактики дефіциту.,Development,0.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Інтенсивний (Цинк+),"План для кукурудзи на зерно, орієнтований на високий врожай, з акцентом на азот та цинк.",Corn,18,"N2: Підживлення (8-10 листків)",Основне підживлення азотом перед фазою максимального споживання.,Development,0.8,2,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Інтенсивний (Бор+),"План для соняшнику, що враховує високу потребу в борі для формування кошика та запилення.",Sunflower,19,Основне внесення,Внесення NPK під основний обробіток ґрунту.,PreSowing,-15,1,0.6,1.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Інтенсивний (Бор+),"План для соняшнику, що враховує високу потребу в борі для формування кошика та запилення.",Sunflower,20,Підживлення (4-6 листків),Прикореневе підживлення азотом для підтримки росту.,Development,0.3,2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Інтенсивний (Бор+),"План для соняшнику, що враховує високу потребу в борі для формування кошика та запилення.",Sunflower,21,"B1: Листкове підживлення (2-4 пари листків)",Перше критичне внесення бору та мікроелементів для формування кошика.,Development,0.4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0
7,Інтенсивний (Бор+),"План для соняшнику, що враховує високу потребу в борі для формування кошика та запилення.",Sunflower,22,"B2: Листкове підживлення (бутонізація)",Друге критичне внесення бору для якісного цвітіння та запилення.,MidSeason,0.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
8,Інтенсивний (без N),"План для сої за умови інокуляції насіння. Акцент на P, K та мікроелементах, що стимулюють азотфіксацію.",Soy,23,Основне внесення,Забезпечення фосфором та безхлорним калієм на весь сезон.,PreSowing,-10,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Інтенсивний (без N),"План для сої за умови інокуляції насіння. Акцент на P, K та мікроелементах, що стимулюють азотфіксацію.",Soy,24,"Mo+B: Листкове підживлення (3-4 трійч. листки)",Внесення молібдену для активізації азотфіксуючих бактерій та бору для вегетативного росту.,Development,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
8,Інтенсивний (без N),"План для сої за умови інокуляції насіння. Акцент на P, K та мікроелементах, що стимулюють азотфіксацію.",Soy,25,Підтримка цвітіння,Листкове підживлення для покращення цвітіння та зав'язування бобів.,MidSeason,0.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0
9,Інтенсивний (N+S+B),"Комплексний план для озимого ріпаку, що враховує високі потреби в азоті, сірці та борі.",Rapeseed,26,Основне внесення,"Внесення P, K та стартової дози N та S для потужного осіннього розвитку.",PreSowing,-10,1,0.1,1.0,1.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Інтенсивний (N+S+B),"Комплексний план для озимого ріпаку, що враховує високі потреби в азоті, сірці та борі.",Rapeseed,27,"B (осінь): Листкове підживлення",Внесення бору восени для підвищення зимостійкості.,Initial,0.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
9,Інтенсивний (N+S+B),"Комплексний план для озимого ріпаку, що враховує високі потреби в азоті, сірці та борі.",Rapeseed,28,"N1+S: Ранньовесняне підживлення",Перше весняне підживлення азотом та сіркою по мерзлоталому ґрунту для відновлення вегетації.,Development,0.1,3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Інтенсивний (N+S+B),"Комплексний план для озимого ріпаку, що враховує високі потреби в азоті, сірці та борі.",Rapeseed,29,"N2: Продуктивне підживлення",Друге підживлення азотом для росту бічних пагонів.,Development,0.8,2,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Інтенсивний (N+S+B),"Комплексний план для озимого ріпаку, що враховує високі потреби в азоті, сірці та борі.",Rapeseed,30,"B (весна): Листкове підживлення",Внесення бору в фазі бутонізації для оптимального цвітіння та формування стручків.,MidSeason,0.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
